difficulty,puzzle_id,mask_init_ns,permutation_ns,edge_build_ns,pruning_ns,extraction_ns,total_time_ns
medium,51,78163,14268560,72027353,303878,6688,87467156
medium,52,82534,17871350,175263853,1842392,7325,196429522
medium,53,83769,9230512,37191745,311748,6066,47450893
medium,54,84336,18873542,171248554,871941,7493,192571860
medium,55,85339,17472603,137315679,646479,6157,156863406
medium,56,78125,17283110,44991573,378830,6649,63369079
medium,57,85472,12554538,71200402,1036272,6799,85653832
medium,58,82436,12137853,65258399,1080511,6891,79335077
medium,59,86521,30930881,216020278,1435513,6966,249924149
medium,60,75597,20863225,228388507,4455381,9428,255203192
medium,61,84329,21160675,152298521,14339412,8433,189214676
medium,62,75006,14517146,92774644,674640,9674,108982323
medium,63,77435,19993943,148337496,1856635,7149,171530862
medium,64,79033,20856917,258665542,4805222,8528,285886936
medium,65,80134,16145233,109719786,743351,7270,127677422
medium,66,82125,22583248,255129480,3626440,8643,283189489
medium,67,77531,19749299,209790348,953090,7178,232248042
medium,68,79263,10456271,39677482,2097303,8133,52982381
medium,69,82880,12594219,85024559,2744749,6552,101329965
medium,70,100881,12334234,56659346,1666015,6326,71510465
medium,71,86921,10678649,35566388,116629,6665,47058080
medium,72,86114,7907287,28735600,395926,6474,37690161
medium,73,83925,21395090,222232977,2369429,9292,247719243
medium,74,88063,11964947,49844056,175182,6601,62937913
medium,75,85968,23757923,251241079,1228794,8766,277841178
medium,76,82019,13825073,104072073,4509694,6715,123518854
medium,77,79972,15300937,93985226,809282,6887,111402555
medium,78,82152,18771647,147098043,6581121,7206,173638719
medium,79,80977,21358562,236629691,1624107,8435,261534440
medium,80,81624,9179840,31610249,1035572,8362,42482946
medium,81,85974,12241538,53155907,348613,9160,66576430
medium,82,89094,8590071,31716723,1066612,7884,42008880
medium,83,82996,23809052,217132794,583075,6902,243117184
medium,84,85474,6448362,18731485,125776,8140,25881495
medium,85,88290,13302692,53782361,322393,8284,68188182
medium,86,82114,12214390,38671808,352911,8707,51947065
medium,87,82415,9579286,47554407,508024,8128,58369127
medium,88,84280,35394131,500123525,4125164,12863,541899944
medium,89,131266,29937412,304079943,1975386,8416,337837259
medium,90,81670,10462010,39246497,360709,6444,50784204
medium,91,86957,12605485,73965735,1608762,6495,89069570
medium,92,85957,8768538,34068510,488963,7725,44135399
medium,93,88760,13619558,99859557,1055193,7390,115662854
medium,94,83634,11552310,51188246,346003,7909,63855739
medium,95,83363,10841415,43194149,787653,7309,55541759
medium,96,84742,11273423,59487062,352008,7266,71990321
medium,97,114920,8590111,24422035,588807,7829,34230426
medium,98,83207,12672634,73616955,328091,6605,87602288
medium,99,83856,24688411,261239372,707175,7067,288320049
hard,0,79863,10603098,36095171,797890,7203,48155867
hard,1,83587,10383046,42361598,680935,6338,54121448
hard,2,82262,12211042,70932667,1300531,6696,85314780
hard,3,84899,9022693,39151483,1041932,5648,49894489
hard,4,84621,10758251,41234922,888476,7552,53603655
hard,5,85941,13710772,96727741,2187240,6640,113621847
hard,6,86266,12814146,51365605,402161,6687,65399719
hard,7,92645,18283007,92533231,1305103,7305,113218721
hard,8,81631,10685589,53867158,3857305,6519,69178661
hard,9,82627,8104085,30188816,551844,6034,39452510
hard,10,84005,22265908,198976143,1776347,6157,224901768
hard,11,81770,18753758,83429870,570184,6735,103960703
hard,12,78753,12644549,64818497,1860228,7107,80224144
hard,13,81433,15936362,97224769,1137091,7274,115268700
hard,14,82384,14879380,63519757,552499,7925,79934639
hard,15,81058,10037036,48097080,719559,8697,59584357
hard,16,86481,11005823,53783717,1568631,6763,67179739
